"name","destination","chain_id","res_partner_id","categ_id"
"HOTEL NACIONAL DE CUBA","VEDADO","GRAN CARIBE","HOTEL NACIONAL DE CUBA","Hotel"
"HUSA CAYO SANTA MARIA","CAYO SANTA MARIA","HUSA HOTELES","HUSA CAYO SANTA MARIA","Hotel"
"IBEROSTAR CAYO COCO","CAYO COCO","IBEROSTAR HOTELS & RESORTS","IBEROSTAR CAYO COCO","Hotel"
"IBEROSTAR DAIQUIRI","CAYO GUILLERMO","IBEROSTAR HOTELS & RESORTS","IBEROSTAR DAIQUIRI","Hotel"
"IBEROSTAR ENSENACHOS","CAYO ENSENACHOS","IBEROSTAR HOTELS & RESORTS","IBEROSTAR ENSENACHOS","Hotel"
"IBEROSTAR TRINIDAD","TRINIDAD","IBEROSTAR HOTELS & RESORTS","IBEROSTAR TRINIDAD","Hotel"
"IBEROSTAR LAGUNA AZUL","VARADERO","IBEROSTAR HOTELS & RESORTS","IBEROSTAR LAGUNA AZUL","Hotel"
"IBEROSTAR MOJITO","CAYO COCO","IBEROSTAR HOTELS & RESORTS","IBEROSTAR MOJITO","Hotel"
"IBEROSTAR PARQUE CENTRAL","OLD HAVANA","IBEROSTAR HOTELS & RESORTS","IBEROSTAR PARQUE CENTRAL","Hotel"
"IBEROSTAR PLAYA ALAMEDA","VARADERO","IBEROSTAR HOTELS & RESORTS","IBEROSTAR PLAYA ALAMEDA","Hotel"
"IBEROSTAR TAINOS","VARADERO","IBEROSTAR HOTELS & RESORTS","IBEROSTAR TAINOS","Hotel"
"IBEROSTAR VARADERO","VARADERO","IBEROSTAR HOTELS & RESORTS","IBEROSTAR VARADERO","Hotel"
"INGLATERRA","OLD HAVANA","GRAN CARIBE","INGLATERRA","Hotel"
"INTERNACIONAL VARADERO","VARADERO","GRAN CARIBE","INTERNACIONAL VARADERO","Hotel"
"ISLA DE CUBA","CAMAGUEY CITY","ISLAZUL","ISLA DE CUBA","Hotel"
"ISLA DEL SUR","CAYO LARGO","GRAN CARIBE","ISLA DEL SUR","Hotel"
"JAGUA","CIENFUEGOS","GRAN CARIBE","JAGUA","Hotel"
"KAWAMA HOTEL & VILLAS","VARADERO","GRAN CARIBE","KAWAMA HOTEL & VILLAS","Hotel"
"KOHLY","MIRAMAR","GAVIOTA HOTELES","KOHLY","Hotel"
"KURTHOTEL ESCAMBRAY","TOPES DE COLLANTES","GAVIOTA HOTELES","KURTHOTEL ESCAMBRAY","Hotel"
"LA BELEN","","","LA BELEN","Hotel"
"LA ERMITA","VINALES","CUBANACAN HOTELES","LA ERMITA","Hotel"
"LA GRAN PIEDRA","SANTIAGO DE CUBA","ISLAZUL","LA GRAN PIEDRA","Hotel"
"LA GUABINA","","","LA GUABINA","Hotel"
"LA HABANERA","BARACOA","GAVIOTA HOTELES","LA HABANERA","Hotel"
"LA LUPE","GUANTANAMO","ISLAZUL","LA LUPE","Hotel"
"LA PRADERA (INTERNATIONAL HEALTH CENTRE)","HAVANA","SERVIMED","LA PRADERA (INTERNATIONAL HEALTH CENTRE)","Hotel"
"LA RONDA","TRINIDAD","CUBANACAN HOTELES","LA RONDA","Hotel"
"LA RUSA","BARACOA","GAVIOTA HOTELES","LA RUSA","Hotel"
"LA TORTUGA","JARDINES DE LA REINA","AVALON","LA TORTUGA","Hotel"
"LA UNION","CIENFUEGOS","GRAN CARIBE","LA UNION","Hotel"
"LAS AMERICAS","SANTIAGO DE CUBA CITY","ISLAZUL","LAS AMERICAS","Hotel"
"LAS CUEVAS","TRINIDAD","CUBANACAN HOTELES","LAS CUEVAS","Hotel"
"BE LIVE LAS MORLAS","VARADERO","BE LIVE","BE LIVE LAS MORLAS","Hotel"
"LAS TUNAS","LAS TUNAS CITY","ISLAZUL","LAS TUNAS","Hotel"
"LAS YAGRUMAS","HAVANA","ISLAZUL","LAS YAGRUMAS","Hotel"
"LIBERTAD","SANTIAGO DE CUBA CITY","ISLAZUL","LIBERTAD","Hotel"
"LIDO","OLD HAVANA","ISLAZUL","LIDO","Hotel"
"LINCOLN","OLD HAVANA","ISLAZUL","LINCOLN","Hotel"
"LOS CANEYES","SANTA CLARA CITY","CUBANACAN HOTELES","LOS CANEYES","Hotel"
"LOS DELFINES","VARADERO","ISLAZUL","LOS DELFINES","Hotel"
